Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Saudi Arabia,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334,472.0,525.3333333333334,525.3333333333334,595.0,509.0,525.3333333333334,525.3333333333334,525.3333333333334,525.3333333333334
Serbia,106.41176470588235,106.41176470588235,106.41176470588235,146.0,129.0,119.0,106.0,139.0,133.0,120.0,125.0,137.0,86.0,105.0,96.0,68.0,78.0,74.0,106.0,42.0,106.41176470588235
Singapore,11.5,11.5,12.0,17.0,11.5,11.5,11.5,11.5,16.0,15.0,19.0,11.0,14.0,11.5,10.0,11.0,5.0,11.0,7.0,6.0,7.0
Slovakia,58.0,57.0,63.0,48.0,78.0,50.0,46.0,60.0,43.0,44.0,41.0,46.0,28.0,32.0,31.0,37.0,31.0,37.0,49.0,43.0,46.1
Slovenia,19.0,27.0,19.0,44.0,32.0,30.0,23.0,18.0,28.0,24.0,39.0,35.0,14.0,22.0,21.0,35.0,19.0,17.0,21.0,14.0,25.05
South Africa,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2524.0,2877.0,3033.0,2900.0,2760.0,2125.0,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665,2703.1666666666665
Spain,156.76923076923077,156.76923076923077,26.0,34.0,156.76923076923077,156.76923076923077,156.76923076923077,156.76923076923077,156.76923076923077,84.0,95.0,206.0,248.0,190.0,194.0,160.0,203.0,215.0,187.0,196.0,156.76923076923077
State of Palestine,33.0,19.0,16.0,35.0,18.0,25.0,20.0,14.0,23.0,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557,22.555555555555557
Suriname,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0
Sweden,137.0,151.0,146.0,163.0,164.3684210526316,149.0,150.0,166.0,134.0,130.0,146.0,136.0,156.0,168.0,143.0,170.0,195.0,212.0,250.0,221.0,164.3684210526316
Switzerland,35.0,59.0,45.0,54.0,45.0,40.0,36.0,48.0,30.0,41.0,34.0,38.0,24.0,27.0,33.0,35.0,25.0,23.0,35.0,19.0,36.3
Tajikistan,84.5,84.5,84.5,84.5,84.5,84.5,33.0,84.5,84.5,84.5,84.5,84.5,136.0,84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5
Thailand,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,4484.5,2592.0,4484.5,6377.0,4484.5,4484.5,4484.5,4484.5,4484.5
Trinidad and Tobago,11.88888888888889,11.88888888888889,11.88888888888889,11.88888888888889,11.88888888888889,11.88888888888889,10.0,4.0,5.0,8.0,13.0,9.0,20.0,11.88888888888889,11.88888888888889,11.88888888888889,30.0,8.0,11.88888888888889,11.88888888888889,11.88888888888889
Tunisia,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,348.0,349.0,347.0,348.0,348.0,348.0,348.0,348.0,348.0
Turkmenistan,402.0,332.0,305.0,222.0,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25,315.25
Türkiye,9056.0,9274.0,12676.0,14010.0,11389.0,11223.611111111111,14992.0,15871.0,15215.0,17802.0,20905.0,14478.0,11223.611111111111,5861.0,5416.0,6724.0,7181.0,5852.0,7578.0,7745.0,11223.611111111111
Uganda,5.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Ukraine,3250.0,2489.0,2351.0,2228.0,2424.0,2424.0,2424.0,1802.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0,2424.0
United Arab Emirates,33.0,33.0,38.0,28.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
United Kingdom (England and Wales),277.0,361.0,394.0,372.0,369.0,439.0,376.0,346.0,343.0,356.0,314.0,333.0,266.0,456.0,357.2857142857143,357.2857142857143,357.2857142857143,357.2857142857143,357.2857142857143,357.2857142857143,357.2857142857143
United Kingdom (Northern Ireland),11.75,11.75,15.0,11.75,12.0,10.0,16.0,15.0,13.0,9.0,14.0,7.0,5.0,14.0,11.0,16.0,13.0,11.0,7.0,11.75,11.75
United Kingdom (Scotland),32.0,53.0,47.0,57.0,53.0,60.0,52.0,49.0,53.0,48.0,47.0,31.0,43.4375,30.0,27.0,43.4375,43.4375,41.0,15.0,43.4375,43.4375
Uruguay,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,173.5,167.0,180.0,173.5
Uzbekistan,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,389.3333333333333,375.0,360.0,433.0,389.3333333333333,389.3333333333333
Venezuela (Bolivarian Republic of),3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0,3257.0
